X,Y,clusters_2,clusters_3,clusters_4,clusters_5,clusters_6
-122.403409085,37.7531779939,1,0,1,0,1
-122.41766064,37.755504342,1,0,1,0,1
-122.414233849,37.7540986882,1,0,1,0,1
-122.395565262,37.7626384173,1,0,1,0,1
-122.385001534,37.7330708174,1,0,1,0,5
-122.441811628,37.7990019437,0,1,0,1,3
-122.469628051,37.7817199969,0,2,3,3,4
-122.504883711,37.7530422086,1,2,3,3,4
-122.481592052,37.7427355501,1,2,3,3,4
-122.490170247,37.7424682354,1,2,3,3,4
-122.408384276,37.7878271137,0,1,0,4,0
-122.409925328,37.787764099,0,1,0,4,0
-122.408384276,37.7878271137,0,1,0,4,0
-122.413045094,37.7589402059,1,0,1,0,1
-122.412179604,37.7622630617,1,0,1,0,1
-122.405468776,37.7639259195,1,0,1,0,1
-122.418445946,37.7882184508,0,1,0,1,3
-122.392347672,37.7890603556,0,1,0,4,0
-122.409256096,37.7882398998,0,1,0,4,0
-122.410519782,37.7527667267,1,0,1,0,1
-122.434457354,37.7609766091,1,0,1,0,1
-122.405468776,37.7639259195,1,0,1,0,1
-122.405468776,37.7639259195,1,0,1,0,1
-122.404828019,37.7897596938,0,1,0,4,0
-122.41027135,37.7895016292,0,1,0,4,0
-122.410791678,37.783695227,0,1,0,4,0
-122.412422725,37.7648250318,1,0,1,0,1
-122.42480864,37.798391758,0,1,0,1,3
-122.412439198,37.787722739,0,1,0,1,3
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.50966216,37.763035554,1,2,3,3,4
-122.400916029,37.7854574903,0,1,0,4,0
-122.400916029,37.7854574903,0,1,0,4,0
-122.404195425,37.7912255174,0,1,0,4,0
-122.41382007,37.785738295,0,1,0,1,3
-122.41382007,37.785738295,0,1,0,1,3
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.410699658,37.7869881885,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.406886504,37.7887345764,0,1,0,4,0
-122.380028764,37.7320374278,1,0,1,0,5
-122.408384276,37.7878271137,0,1,0,4,0
-122.412755326,37.7867259286,0,1,0,1,3
-122.489090192,37.7424057567,1,2,3,3,4
-122.410111374,37.778632049,0,1,0,4,0
-122.411800135,37.7840890367,0,1,0,4,0
-122.422254495,37.7773983117,0,1,0,1,3
